0x00070903	daw_monitor.a.channel.10.mute
0x00070904	daw_monitor.a.channel.10.pan
0x00070908	daw_monitor.a.channel.10.volume
0x00071000	daw_monitor.b.channel.1.stereo
0x00071002	daw_monitor.b.channel.1.solo
0x00071003	daw_monitor.b.channel.1.mute
0x00071004	daw_monitor.b.channel.1.pan
0x00071008	daw_monitor.b.channel.1.volume
0x00071100	daw_monitor.b.channel.2.stereo
0x00071102	daw_monitor.b.channel.2.solo
0x00071103	daw_monitor.b.channel.2.mute
0x00071104	daw_monitor.b.channel.2.pan
0x00071108	daw_monitor.b.channel.2.volume
0x00071200	daw_monitor.b.channel.3.stereo
0x00071202	daw_monitor.b.channel.3.solo
0x00071203	daw_monitor.b.channel.3.mute
0x00071204	daw_monitor.b.channel.3.pan
0x00071208	daw_monitor.b.channel.3.volume
0x00071300	daw_monitor.b.channel.4.stereo
0x00071302	daw_monitor.b.channel.4.solo
0x00071303	daw_monitor.b.channel.4.mute
0x00071304	daw_monitor.b.channel.4.pan
0x00071308	daw_monitor.b.channel.4.volume
0x00071400	daw_monitor.b.channel.5.stereo
0x00071402	daw_monitor.b.channel.5.solo
0x00071403	daw_monitor.b.channel.5.mute
0x00071404	daw_monitor.b.channel.5.pan
0x00071408	daw_monitor.b.channel.5.volume
0x00071500	daw_monitor.b.channel.6.stereo
0x00071502	daw_monitor.b.channel.6.solo
